City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clyde river,70.4692,-68.5914,-23.87,64,100,3.6,CA,1677089720
1,upernavik,72.7868,-56.1549,-23.59,90,100,12.09,GL,1677089723
2,nazarovo,56.0064,90.3914,-15.08,99,56,2.23,RU,1677089724
3,omboue,-1.5746,9.2618,26.62,84,82,3.16,GA,1677089725
4,hermanus,-34.4187,19.2345,18.78,73,22,4.44,ZA,1677089726
5,caravelas,-17.7125,-39.2481,28.62,58,100,3.64,BR,1677089727
6,uruana,-15.4981,-49.6875,24.99,83,99,1.69,BR,1677089727
7,viedma,-40.8135,-62.9967,31.26,27,2,4.09,AR,1677089728
8,progreso,21.2833,-89.6667,32.28,44,4,5.64,MX,1677089729
9,coquimbo,-29.9533,-71.3436,21.85,64,40,5.66,CL,1677089730
10,granadilla de abona,28.1188,-16.576,16.37,76,40,5.66,ES,1677089733
11,hovd,48.0056,91.6419,-14.4,83,28,1.3,MN,1677089733
12,fare,-16.7,-151.0167,26.83,74,100,1.84,PF,1677089734
13,kodiak,57.79,-152.4072,-3.27,100,0,1.54,US,1677089735
14,rikitea,-23.1203,-134.9692,26.6,71,43,5.27,PF,1677089736
15,kavieng,-2.5744,150.7967,27.47,79,100,7.46,PG,1677089737
16,atuona,-9.8,-139.0333,26.4,77,50,8.02,PF,1677089739
17,broome,42.2506,-75.833,1.12,82,100,3.6,US,1677089739
18,lazaro cardenas,17.9583,-102.2,28.86,48,100,3.03,MX,1677089740
19,port alfred,-33.5906,26.891,20.66,90,0,0.45,ZA,1677089741
20,san patricio,28.017,-97.5169,31.71,35,3,3.89,US,1677089742
21,punta arenas,-53.15,-70.9167,11.06,46,75,16.46,CL,1677089743
22,hammerfest,70.6634,23.6821,-6.75,63,100,7.72,NO,1677089744
23,okakarara,-20.5833,17.4333,26.08,20,4,3.23,NA,1677089744
24,asau,46.4333,26.4,2.51,88,86,0.36,RO,1677089744
25,butaritari,3.0707,172.7902,27.2,77,91,8.19,KI,1677089745
26,east london,-33.0153,27.9116,22.52,83,0,3.6,ZA,1677089745
27,bluff,-46.6,168.3333,11.56,71,97,7.31,NZ,1677089746
28,punganuru,13.3667,78.5833,17.61,65,0,1.77,IN,1677089746
29,airai,-8.9266,125.4092,16.05,93,98,1.35,TL,1677089747
30,mar del plata,-38.0023,-57.5575,31.57,51,0,5.66,AR,1677089747
31,nordby,55.446,8.3979,7.36,90,75,5.14,DK,1677089747
32,qaanaaq,77.484,-69.3632,-23.16,51,3,4.16,GL,1677089730
33,busselton,-33.65,115.3333,16.87,76,60,3.12,AU,1677089749
34,bambous virieux,-20.3428,57.7575,26.23,78,40,3.09,MU,1677089749
35,faanui,-16.4833,-151.75,26.98,74,100,2.68,PF,1677089749
36,sehwan,26.4279,67.863,22.87,21,81,2.07,PK,1677089750
37,bredasdorp,-34.5322,20.0403,19.28,68,17,4.0,ZA,1677089624
38,saint-philippe,-21.3585,55.7679,26.77,80,52,5.44,RE,1677089750
39,ushuaia,-54.8,-68.3,9.81,50,40,11.83,AR,1677089751
40,bethel,41.3712,-73.414,5.52,60,100,2.06,US,1677089562
41,plouzane,48.3833,-4.6167,6.18,70,40,5.66,FR,1677089752
42,merke,42.8728,73.1786,6.13,72,100,0.88,KZ,1677089752
43,fairbanks,64.8378,-147.7164,-12.73,79,75,0.0,US,1677089700
44,madang,-5.2246,145.7966,24.39,91,100,2.22,PG,1677089753
45,hobart,-42.8794,147.3294,12.92,71,97,3.6,AU,1677089753
46,vaini,-21.2,-175.2,25.09,100,40,0.51,TO,1677089754
47,provideniya,64.3833,-173.3,-3.94,97,100,4.6,RU,1677089755
48,kondoa,-4.9,35.7833,21.64,58,96,1.56,TZ,1677089755
49,arraial do cabo,-22.9661,-42.0278,29.92,66,20,2.06,BR,1677089756
50,marzuq,14.4,46.4667,16.79,40,12,3.15,YE,1677089757
51,geraldton,-28.7667,114.6,22.23,68,100,8.75,AU,1677089757
52,curumani,9.1999,-73.5427,37.31,26,47,1.3,CO,1677089758
53,bintulu,3.1667,113.0333,24.54,85,100,0.35,MY,1677089758
54,hilo,19.7297,-155.09,22.93,94,75,2.24,US,1677089728
55,shakhunya,57.6758,46.6114,-15.23,97,98,3.31,RU,1677089759
56,buala,-8.145,159.5921,25.76,85,100,1.37,SB,1677089759
57,bojnurd,37.4747,57.329,7.46,46,7,3.59,IR,1677089760
58,mataura,-46.1927,168.8643,11.38,99,97,0.74,NZ,1677089760
59,tiksi,71.6872,128.8694,-20.34,99,100,1.87,RU,1677089762
60,meulaboh,4.1363,96.1285,25.18,88,99,1.74,ID,1677089763
61,vezirkopru,41.1436,35.4547,9.27,80,96,1.53,TR,1677089764
62,albany,42.6001,-73.9662,2.75,53,86,1.75,US,1677089524
63,bengkulu,-3.8004,102.2655,24.2,90,100,2.96,ID,1677089765
64,boa vista,2.8197,-60.6733,31.99,40,75,6.17,BR,1677089488
65,mahebourg,-20.4081,57.7,26.25,78,40,3.09,MU,1677089766
66,kapaa,22.0752,-159.319,24.18,79,100,9.26,US,1677089735
67,luderitz,-26.6481,15.1594,20.06,68,0,5.8,NA,1677089767
68,kiunga,-6.1219,141.2906,22.44,100,100,0.29,PG,1677089767
69,yellowknife,62.456,-114.3525,-26.36,76,20,5.66,CA,1677089768
70,khatanga,71.9667,102.5,-21.42,99,100,1.87,RU,1677089769
71,olafsvik,64.8945,-23.7142,3.31,98,100,6.03,IS,1677089770
72,vila franca do campo,37.7167,-25.4333,14.23,92,100,1.77,PT,1677089771
73,thio,-21.6167,166.2167,21.98,85,89,3.53,NC,1677089772
74,torbay,47.6666,-52.7314,-0.79,95,100,9.77,CA,1677089773
75,ambikapur,23.1167,83.2,18.02,21,9,1.04,IN,1677089773
76,beyneu,45.3167,55.2,3.53,81,100,8.13,KZ,1677089774
77,guangyuan,32.442,105.823,7.69,85,100,0.56,CN,1677089775
78,denpasar,-8.65,115.2167,27.81,83,40,5.66,ID,1677089524
79,avarua,-21.2078,-159.775,24.03,94,47,0.51,CK,1677089776
80,grand island,40.925,-98.342,-7.84,83,100,11.32,US,1677089767
81,salalah,17.0151,54.0924,22.55,43,1,1.05,OM,1677089778
82,dingle,10.9995,122.6711,23.59,94,100,2.87,PH,1677089779
83,jamestown,42.097,-79.2353,-0.23,100,100,4.63,US,1677089780
84,zhigansk,66.7697,123.3711,-27.52,100,94,0.66,RU,1677089539
85,umm kaddadah,13.6017,26.6876,23.82,12,12,5.69,SD,1677089781
86,yulara,-25.2406,130.9889,25.85,31,1,4.19,AU,1677089781
87,shimoda,34.6667,138.95,6.17,76,100,3.58,JP,1677089782
88,kupang,-10.1667,123.5833,25.83,87,100,3.18,ID,1677089783
89,karratha,-20.7377,116.8463,27.62,77,80,4.29,AU,1677089784
90,cherskiy,68.75,161.3,-32.99,98,100,3.7,RU,1677089785
91,cape town,-33.9258,18.4232,20.62,68,0,7.72,ZA,1677089785
92,narsaq,60.9167,-46.05,-3.88,90,73,2.77,GL,1677089786
93,chokurdakh,70.6333,147.9167,-41.16,100,57,2.62,RU,1677089787
94,tuktoyaktuk,69.4541,-133.0374,-36.0,75,0,3.09,CA,1677089787
95,montbrison,45.6667,4.0833,9.19,90,95,0.56,FR,1677089788
96,novikovo,51.1537,37.8879,-15.95,96,72,3.48,RU,1677089789
97,hithadhoo,-0.6,73.0833,27.57,75,100,5.77,MV,1677089790
98,saint-denis,48.9167,2.3333,9.57,88,100,1.54,FR,1677089790
99,cetraro,39.5166,15.9416,13.37,82,7,0.84,IT,1677089791
100,tarsus,36.9188,34.8784,12.93,79,4,1.82,TR,1677089792
101,saint john,45.2727,-66.0677,2.57,38,75,7.2,CA,1677089602
102,portsmouth,50.799,-1.0913,8.43,83,88,2.68,GB,1677089793
103,ahipara,-35.1667,173.1667,17.08,91,100,1.68,NZ,1677089793
104,sweetwater,25.7634,-80.3731,30.56,61,40,5.14,US,1677089794
105,barrow,71.2906,-156.7887,-20.99,77,100,11.83,US,1677089795
106,les cayes,18.2,-73.75,27.97,57,79,5.91,HT,1677089796
107,bitung,1.4451,125.1824,24.47,85,92,3.21,ID,1677089796
108,touros,-5.1989,-35.4608,29.72,66,53,5.88,BR,1677089797
109,sorland,67.667,12.6934,3.92,97,100,15.22,NO,1677089798
110,half moon bay,37.4636,-122.4286,10.25,64,40,9.77,US,1677089731
111,abu dhabi,24.4667,54.3667,23.3,51,17,3.12,AE,1677089407
112,dunedin,-45.8742,170.5036,9.01,88,86,4.23,NZ,1677089800
113,dongsheng,39.8161,109.9776,-1.14,64,95,1.35,CN,1677089801
114,middletown,39.5151,-84.3983,21.64,76,100,2.57,US,1677089776
115,lima,-12.0432,-77.0282,27.14,57,0,7.72,PE,1677089441
116,rio grande,-32.035,-52.0986,30.06,58,89,6.33,BR,1677089802
117,carutapera,-1.195,-46.02,26.93,84,81,2.31,BR,1677089803
118,tiarei,-17.5333,-149.3333,29.01,73,100,0.95,PF,1677089804
119,puerto ayora,-0.7393,-90.3518,28.98,87,87,0.45,EC,1677089804
120,hualmay,-11.0964,-77.6139,26.14,69,97,4.77,PE,1677089805
121,kattivakkam,13.2167,80.3167,26.71,75,0,2.42,IN,1677089805
122,saint-augustin,51.226,-58.6502,-8.53,80,74,1.06,CA,1677089806
123,new norfolk,-42.7826,147.0587,12.72,61,97,1.25,AU,1677089806
124,cozumel,20.5083,-86.9458,29.04,67,40,7.6,MX,1677089660
125,saint-francois,46.4154,3.9054,9.42,95,100,1.54,FR,1677089807
126,san quintin,30.4833,-115.95,11.84,63,100,9.19,MX,1677089807
127,hami,42.8,93.45,2.48,50,63,0.8,CN,1677089807
128,luwuk,-0.9516,122.7875,25.63,83,81,1.58,ID,1677089808
129,sao joao da barra,-21.6403,-41.0511,31.05,78,17,5.41,BR,1677089808
130,richards bay,-28.783,32.0377,21.68,78,45,2.18,ZA,1677089809
131,thompson,55.7435,-97.8558,-25.91,58,20,4.12,CA,1677089809
132,mmathubudukwane,-24.6,26.4333,23.41,58,5,2.28,BW,1677089810
133,biltine,14.5333,20.9167,29.32,11,0,4.35,TD,1677089810
134,pingliang,35.5392,106.6861,1.05,85,95,1.71,CN,1677089811
135,carnarvon,-24.8667,113.6333,23.66,81,8,9.44,AU,1677089811
136,jalu,29.0331,21.5482,15.97,50,42,2.66,LY,1677089812
137,talnakh,69.4865,88.3972,-11.55,90,99,4.6,RU,1677089812
138,abu samrah,35.3029,37.1841,11.93,63,34,2.22,SY,1677089812
139,mitsamiouli,-11.3847,43.2844,27.82,72,100,2.07,KM,1677089813
140,dikson,73.5069,80.5464,-24.03,99,92,3.19,RU,1677089814
141,pangnirtung,66.1451,-65.7125,-35.0,68,20,0.0,CA,1677089814
142,tocopilla,-22.092,-70.1979,23.93,68,0,2.35,CL,1677089815
143,la ronge,55.1001,-105.2842,-26.86,43,0,2.06,CA,1677089815
144,merauke,-8.4667,140.3333,26.36,85,100,3.67,ID,1677089815
145,iskar,43.45,24.2667,12.92,58,0,2.06,BG,1677089816
146,kaitangata,-46.2817,169.8464,7.11,90,92,2.04,NZ,1677089816
147,biak,-0.9131,122.8766,25.03,83,81,1.78,ID,1677089817
148,bonfim,3.0833,-59.95,33.88,34,83,2.73,BR,1677089817
149,neryungri,56.6709,124.6491,-18.48,97,100,2.75,RU,1677089818
150,lagoa,39.05,-27.9833,14.16,84,100,11.52,PT,1677089818
151,flinders,-34.5833,150.8552,16.77,83,98,0.89,AU,1677089818
152,kudahuvadhoo,2.6708,72.8944,27.4,76,78,5.17,MV,1677089819
153,sumenep,-7.0167,113.8667,24.68,90,94,6.74,ID,1677089819
154,hokitika,-42.7167,170.9667,10.99,77,65,3.34,NZ,1677089820
155,victoria,22.2855,114.1577,17.03,79,49,5.36,HK,1677089586
156,ilulissat,69.2167,-51.1,-18.99,78,75,6.69,GL,1677089821
157,sinnamary,5.3833,-52.95,23.88,94,100,3.96,GF,1677089821
158,la troncal,-2.4,-79.3333,26.58,82,92,0.51,EC,1677089822
159,saldanha,-33.0117,17.9442,17.88,78,48,8.23,ZA,1677089823
160,faya,18.3851,42.4509,14.29,57,0,1.95,SA,1677089824
161,bandarbeyla,9.4942,50.8122,24.18,73,15,6.23,SO,1677089825
162,puerto escondido,15.85,-97.0667,30.46,70,75,6.17,MX,1677089825
163,qaqortoq,60.7167,-46.0333,-7.8,84,54,2.96,GL,1677089828
164,sabang,5.8933,95.3214,27.04,78,86,4.91,ID,1677089829
165,sun prairie,43.1836,-89.2137,-0.84,90,100,7.72,US,1677089830
166,truro,50.2653,-5.0544,6.6,77,40,7.2,GB,1677089630
167,camacha,33.0833,-16.3333,13.68,82,75,2.06,PT,1677089831
168,sitka,57.0531,-135.33,-1.06,47,0,0.0,US,1677089630
169,west wendover,40.7391,-114.0733,-3.44,63,0,13.38,US,1677089832
170,georgetown,5.4112,100.3354,26.96,83,40,1.54,MY,1677089606
171,rio gallegos,-51.6226,-69.2181,12.03,40,100,13.89,AR,1677089834
172,mezen,65.8522,44.24,-10.44,97,100,2.29,RU,1677089835
173,hofn,64.2539,-15.2082,0.01,59,20,2.06,IS,1677089836
174,manggar,-2.8833,108.2667,26.11,83,98,5.04,ID,1677089837
175,bandundu,-3.3167,17.3667,20.94,91,100,1.83,CD,1677089838
176,kangaatsiaq,68.3065,-53.4641,-23.21,92,100,2.39,GL,1677089838
177,vanimo,-2.6741,141.3028,24.94,91,96,4.6,PG,1677089839
178,pevek,69.7008,170.3133,-23.11,99,100,3.76,RU,1677089840
179,srednekolymsk,67.45,153.6833,-40.63,100,99,2.22,RU,1677089840
180,roma,43.2128,-75.4557,1.49,62,100,0.0,US,1677089551
181,mirandela,41.4874,-7.187,12.39,79,63,6.34,PT,1677089842
182,bogorodskoye,56.55,37.8833,-13.61,94,100,4.55,RU,1677089842
183,chuy,-33.6971,-53.4616,27.48,45,19,5.5,UY,1677089843
184,bay roberts,47.5999,-53.2648,-0.37,96,100,4.92,CA,1677089843
185,esperance,-33.8667,121.9,19.87,90,100,3.44,AU,1677089845
186,castro,-24.7911,-50.0119,22.79,81,54,2.57,BR,1677089846
187,seoul,37.5683,126.9778,-0.34,46,81,0.88,KR,1677089814
188,shache,38.4167,77.2406,2.69,44,10,1.73,CN,1677089848
189,guerrero negro,27.9769,-114.0611,14.82,74,89,6.81,MX,1677089849
190,inverness,57.4791,-4.224,4.95,79,20,2.06,GB,1677089629
191,husavik,66.0449,-17.3389,-5.7,77,75,4.8,IS,1677089850
192,klaksvik,62.2266,-6.589,3.51,57,69,7.06,FO,1677089850
193,chipata,-13.6333,32.65,19.29,95,100,2.29,ZM,1677089852
194,bilma,18.6853,12.9164,24.51,13,3,3.88,NE,1677089612
195,lebu,-37.6167,-73.65,18.11,63,5,7.51,CL,1677089854
196,kytmanovo,53.4593,85.4479,-7.08,95,56,2.65,RU,1677089855
197,bubaque,11.2833,-15.8333,24.05,73,54,5.45,GW,1677089856
198,colombo,6.9319,79.8478,25.83,66,63,0.88,LK,1677089856
199,merritt island,28.5392,-80.672,30.05,62,0,5.66,US,1677089857
200,hanmer springs,-42.5167,172.8167,8.37,97,100,1.34,NZ,1677089858
201,kenitra,34.261,-6.5802,16.42,83,29,4.68,MA,1677089859
202,alencon,48.4333,0.0833,6.77,89,100,3.78,FR,1677089859
203,pisco,-13.7,-76.2167,27.03,69,0,4.63,PE,1677089860
204,wright,45.1833,-93.9502,-5.62,69,100,7.2,US,1677089860
205,kumeny,58.1089,49.9161,-16.0,99,99,3.03,RU,1677089861
206,masaya,11.9744,-86.0942,30.81,39,6,6.59,NI,1677089861
207,grand forks,47.9417,-97.4337,-22.34,64,75,9.26,US,1677089862
208,alta floresta,-9.8756,-56.0861,22.46,95,100,0.74,BR,1677089862
209,pereslavl-zalesskiy,56.7393,38.8563,-13.75,93,100,4.68,RU,1677089863
210,sabha,27.0377,14.4283,16.16,20,0,2.34,LY,1677089864
211,rey bouba,8.6724,14.1786,33.26,12,80,3.44,CM,1677089864
212,longyearbyen,78.2186,15.6401,-1.09,74,75,8.75,SJ,1677089865
213,clearlake,38.9582,-122.6264,6.24,51,38,4.54,US,1677089865
214,lerwick,60.1545,-1.1494,4.0,55,84,8.52,GB,1677089866
215,jiexiu,37.0244,111.9125,3.56,70,12,1.49,CN,1677089866
216,najran,17.4924,44.1277,19.75,13,0,1.11,SA,1677089867
217,matara,5.9485,80.5353,23.34,80,75,4.19,LK,1677089867
218,conceicao da barra,-18.5933,-39.7322,29.2,59,100,3.58,BR,1677089868
219,port lincoln,-34.7333,135.8667,25.82,51,90,7.55,AU,1677089727
220,lodja,-3.4833,23.4333,21.4,91,92,0.78,CD,1677089868
221,bairiki,1.3292,172.9752,27.0,89,75,4.63,KI,1677089869
222,saskylakh,71.9167,114.0833,-39.59,100,87,1.28,RU,1677089869
223,buraydah,26.326,43.975,21.49,24,1,5.23,SA,1677089796
224,shingu,33.7333,135.9833,6.46,74,100,2.15,JP,1677089870
225,osorno,-40.5667,-73.15,24.17,50,40,2.57,CL,1677089870
226,waddan,29.1614,16.139,16.76,19,0,2.31,LY,1677089871
227,san rafael del sur,11.8485,-86.4384,31.54,36,2,7.53,NI,1677089871
228,ugoofaaru,5.6667,73.0,27.48,74,11,3.84,MV,1677089872
229,trelew,-43.249,-65.3051,31.03,16,85,8.69,AR,1677089872
230,tarauaca,-8.1614,-70.7656,29.97,64,58,1.85,BR,1677089872
231,kahului,20.8947,-156.47,24.91,80,20,3.58,US,1677089806
232,alofi,-19.0595,-169.9187,27.38,76,12,9.56,NU,1677089873
233,yerbogachen,61.2767,108.0108,-25.87,100,94,1.46,RU,1677089873
234,avera,33.194,-82.5271,25.31,66,76,6.52,US,1677089874
235,yumen,40.2833,97.2,-0.66,43,28,4.54,CN,1677089874
236,jaciara,-15.9653,-54.9683,26.19,71,89,2.34,BR,1677089875
237,cidreira,-30.1811,-50.2056,24.76,65,17,5.22,BR,1677089875
238,severo-kurilsk,50.6789,156.125,-5.21,65,95,11.38,RU,1677089875
239,mae hong son,19.3003,97.9685,19.21,59,3,0.64,TH,1677089876
240,coihaique,-45.5752,-72.0662,20.34,40,40,5.66,CL,1677089877
241,nokaneng,-19.6667,22.2667,26.43,51,65,2.49,BW,1677089878
242,pacific grove,36.6177,-121.9166,9.94,66,75,10.28,US,1677089879
243,peniche,39.3558,-9.3811,14.05,81,58,9.49,PT,1677089879
244,biggar,55.6167,-3.5167,6.27,85,100,1.56,GB,1677089880
245,erenhot,43.6475,111.9767,-4.7,42,3,2.43,CN,1677089880
246,sao filipe,14.8961,-24.4956,22.96,70,59,5.71,CV,1677089881
247,falun,60.6036,15.626,-2.77,79,100,4.02,SE,1677089881
248,emerald,-23.5333,148.1667,19.08,83,2,3.12,AU,1677089882
249,ponta do sol,32.6667,-17.1,17.23,83,85,2.04,PT,1677089883
250,cayenne,4.9333,-52.3333,27.02,78,75,3.6,GF,1677089884
251,sile,41.1754,29.6133,11.43,55,56,2.35,TR,1677089884
252,omsukchan,62.5333,155.8,-33.0,95,86,2.51,RU,1677089885
253,nome,64.5011,-165.4064,0.09,100,100,8.75,US,1677089629
254,novotroitskaya,45.3267,41.5253,0.22,87,84,4.49,RU,1677089886
255,kingston,17.997,-76.7936,28.47,71,4,3.13,JM,1677089653
256,manono,-7.3,27.4167,19.49,94,94,3.47,CD,1677089887
257,ballymena,54.8636,-6.2763,7.25,83,35,9.01,GB,1677089888
258,belmonte,-15.8631,-38.8828,28.63,61,99,3.96,BR,1677089888
259,dawson creek,55.7666,-120.2362,-28.2,76,20,0.0,CA,1677089889
260,vila velha,-20.3297,-40.2925,30.97,72,20,6.17,BR,1677089890
261,nosy varika,-20.5833,48.5333,25.81,88,12,3.66,MG,1677089890
262,san pablo jocopilas,14.5833,-91.45,31.94,46,47,2.67,GT,1677089891
263,tasiilaq,65.6145,-37.6368,-6.91,95,100,2.7,GL,1677089892
264,ribeira grande,38.5167,-28.7,17.22,77,20,7.72,PT,1677089893
265,rapid city,44.0805,-103.231,-17.6,78,100,7.72,US,1677089710
